data1, data2, data3, TIME, Created by Kevin Sheridan's Quadcopter GUI
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:25
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:26
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:27
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:28
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:29
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:30
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
Zaccel, Zsonar, Pitch, 12:46:31
